date,open,high,low,close,adjusted close,volume,symbol,company
2021-06-04,124.07,126.16,123.85,125.89,125.700769336,75169343,AAPL,Apple Inc
2021-06-07,126.17,126.32,124.8321,125.9,125.710754304,71057550,AAPL,Apple Inc
2021-06-08,126.6,128.46,126.2101,126.74,126.549491664,74403774,AAPL,Apple Inc
2021-06-09,127.21,127.75,126.52,127.13,126.938905439,56877937,AAPL,Apple Inc
2021-06-10,127.02,128.19,125.94,126.11,125.920438644,71186421,AAPL,Apple Inc
2021-06-11,126.53,127.44,126.1,127.35,127.158574747,53522373,AAPL,Apple Inc
2021-06-14,127.82,130.54,127.07,130.48,130.28386991,96906490,AAPL,Apple Inc
2021-06-15,129.94,130.6,129.39,129.64,129.44513255,62746332,AAPL,Apple Inc
2021-06-16,130.37,130.89,128.461,130.15,129.954365947,91339351,AAPL,Apple Inc
2021-06-17,129.8,132.55,129.65,131.79,131.591900793,96721669,AAPL,Apple Inc
2021-06-18,130.71,131.51,130.24,130.46,130.263899973,108953309,AAPL,Apple Inc
2021-06-21,130.3,132.41,129.21,132.3,132.10113419,79663316,AAPL,Apple Inc
2021-06-22,132.13,134.08,131.62,133.98,133.77860891,74783618,AAPL,Apple Inc
2021-06-23,133.77,134.32,133.23,133.7,133.49902979,60214200,AAPL,Apple Inc
2021-06-24,134.45,134.64,132.93,133.41,133.209465701,68710998,AAPL,Apple Inc
2021-06-25,133.46,133.89,132.81,133.11,132.909916644,70783746,AAPL,Apple Inc
2021-06-28,133.41,135.245,133.35,134.78,134.577406395,62111303,AAPL,Apple Inc
2021-06-29,134.8,136.49,134.35,136.33,136.125076524,64556081,AAPL,Apple Inc
2021-06-30,136.17,137.41,135.87,136.96,136.754129544,63261393,AAPL,Apple Inc
2021-07-01,136.6,137.33,135.76,137.27,137.063663569,52485781,AAPL,Apple Inc
2021-07-02,137.9,140.0,137.745,139.96,139.749620115,78945572,AAPL,Apple Inc
2021-07-06,140.07,143.15,140.07,142.02,141.80652364,108181793,AAPL,Apple Inc
2021-07-07,143.535,144.89,142.66,144.57,144.352690626,104911589,AAPL,Apple Inc
2021-07-08,141.58,144.06,140.665,143.24,143.024689806,105575458,AAPL,Apple Inc
2021-07-09,142.75,145.65,142.6522,145.11,144.891878929,99890800,AAPL,Apple Inc
2021-07-12,146.21,146.32,144.0,144.5,144.282795846,76299719,AAPL,Apple Inc
2021-07-13,144.03,147.46,143.63,145.64,145.421082263,100827099,AAPL,Apple Inc
2021-07-14,148.1,149.57,147.68,149.15,148.925806231,127050785,AAPL,Apple Inc
2021-07-15,149.24,150.0,147.09,148.48,148.256813337,106820297,AAPL,Apple Inc
2021-07-16,148.46,149.76,145.88,146.39,146.169954906,93251426,AAPL,Apple Inc
2021-07-19,143.75,144.07,141.67,142.45,142.235877289,121434571,AAPL,Apple Inc
2021-07-20,143.46,147.0997,142.96,146.15,145.93031566,96350036,AAPL,Apple Inc
2021-07-21,145.53,146.13,144.63,145.4,145.181443017,74993460,AAPL,Apple Inc
2021-07-22,145.935,148.195,145.81,146.8,146.579338617,77338156,AAPL,Apple Inc
2021-07-23,147.55,148.7177,146.92,148.56,148.336693086,71447416,AAPL,Apple Inc
2021-07-26,148.27,149.83,147.7,148.99,148.766046734,72434089,AAPL,Apple Inc
2021-07-27,149.12,149.21,145.55,146.77,146.549383711,104818578,AAPL,Apple Inc
2021-07-28,144.81,146.97,142.54,144.98,144.762074337,118931191,AAPL,Apple Inc
2021-07-29,144.685,146.55,144.58,145.64,145.421082263,54323047,AAPL,Apple Inc
2021-07-30,144.38,146.33,144.11,145.86,145.640751571,70440626,AAPL,Apple Inc
2021-08-02,146.36,146.95,145.25,145.52,145.30126264,62879961,AAPL,Apple Inc
2021-08-03,145.81,148.045,145.18,147.36,147.138496857,64786618,AAPL,Apple Inc
2021-08-04,147.27,147.79,146.28,146.95,146.729113146,56368271,AAPL,Apple Inc
2021-08-05,146.98,147.84,146.17,147.06,146.8389478,46397674,AAPL,Apple Inc
2021-08-06,146.35,147.11,145.63,146.14,146.14,54126813,AAPL,Apple Inc
2021-08-09,146.2,146.7,145.52,146.09,146.09,48908689,AAPL,Apple Inc
2021-08-10,146.44,147.71,145.3,145.6,145.6,69023081,AAPL,Apple Inc
2021-08-11,146.05,146.72,145.53,145.86,145.86,48493463,AAPL,Apple Inc
2021-08-12,146.19,149.05,145.84,148.89,148.89,73779113,AAPL,Apple Inc
2021-08-13,148.97,149.4444,148.27,149.1,149.1,58846293,AAPL,Apple Inc
2021-08-16,148.535,151.19,146.47,151.12,151.12,103558782,AAPL,Apple Inc
2021-08-17,150.23,151.68,149.09,150.19,150.19,92229735,AAPL,Apple Inc
2021-08-18,149.8,150.72,146.15,146.36,146.36,86325990,AAPL,Apple Inc
2021-08-19,145.03,148.0,144.5,146.7,146.7,86960310,AAPL,Apple Inc
2021-08-20,147.44,148.5,146.78,148.19,148.19,60549630,AAPL,Apple Inc
2021-08-23,148.31,150.19,147.89,149.71,149.71,60131810,AAPL,Apple Inc
2021-08-24,149.45,150.86,149.15,149.62,149.62,48606428,AAPL,Apple Inc
2021-08-25,149.81,150.32,147.8,148.36,148.36,58991297,AAPL,Apple Inc
2021-08-26,148.35,149.12,147.51,147.54,147.54,48597195,AAPL,Apple Inc
2021-08-27,147.48,148.75,146.83,148.6,148.6,55802388,AAPL,Apple Inc
2021-08-30,149.0,153.49,148.61,153.12,153.12,90956723,AAPL,Apple Inc
2021-08-31,152.66,152.8,151.29,151.83,151.83,86453117,AAPL,Apple Inc
2021-09-01,152.83,154.98,152.34,152.51,152.51,80313711,AAPL,Apple Inc
2021-09-02,153.87,154.72,152.4,153.65,153.65,71171317,AAPL,Apple Inc
2021-09-03,153.76,154.63,153.09,154.3,154.3,57866066,AAPL,Apple Inc
2021-09-07,154.97,157.26,154.39,156.69,156.69,82278261,AAPL,Apple Inc
2021-09-08,156.98,157.04,153.975,155.11,155.11,74420207,AAPL,Apple Inc
2021-09-09,155.49,156.11,153.95,154.07,154.07,57305730,AAPL,Apple Inc
2021-09-10,155.0,155.48,148.7,148.97,148.97,140893235,AAPL,Apple Inc
2021-09-13,150.63,151.42,148.75,149.55,149.55,102404329,AAPL,Apple Inc
2021-09-14,150.35,151.07,146.91,148.12,148.12,109296295,AAPL,Apple Inc
2021-09-15,148.56,149.44,146.37,149.03,149.03,83281315,AAPL,Apple Inc
2021-09-16,148.44,148.97,147.221,148.79,148.79,68034149,AAPL,Apple Inc
2021-09-17,148.82,148.82,145.76,146.06,146.06,129868824,AAPL,Apple Inc
2021-09-20,143.8,144.84,141.27,142.94,142.94,123478863,AAPL,Apple Inc
2021-09-21,143.93,144.6,142.78,143.43,143.43,75833962,AAPL,Apple Inc
2021-09-22,144.45,146.43,143.7001,145.85,145.85,76404341,AAPL,Apple Inc
2021-09-23,146.65,147.08,145.64,146.83,146.83,64838170,AAPL,Apple Inc
2021-09-24,145.66,147.4701,145.56,146.92,146.92,53477869,AAPL,Apple Inc
2021-09-27,145.47,145.96,143.82,145.37,145.37,74150729,AAPL,Apple Inc
2021-09-28,143.25,144.75,141.69,141.91,141.91,108972340,AAPL,Apple Inc
2021-09-29,142.47,144.45,142.03,142.83,142.83,74602044,AAPL,Apple Inc
2021-09-30,143.66,144.378,141.28,141.5,141.5,89056664,AAPL,Apple Inc
2021-10-01,141.9,142.92,139.1101,142.65,142.65,94639581,AAPL,Apple Inc
2021-10-04,141.76,142.21,138.27,139.14,139.14,98322008,AAPL,Apple Inc
2021-10-05,139.49,142.24,139.36,141.11,141.11,80861062,AAPL,Apple Inc
2021-10-06,139.47,142.15,138.37,142.0,142.0,83221119,AAPL,Apple Inc
2021-10-07,143.06,144.215,142.72,143.29,143.29,61732656,AAPL,Apple Inc
2021-10-08,144.03,144.1781,142.56,142.9,142.9,58773155,AAPL,Apple Inc
2021-10-11,142.27,144.81,141.81,142.81,142.81,64452219,AAPL,Apple Inc
2021-10-12,143.23,143.25,141.0401,141.51,141.51,73035859,AAPL,Apple Inc
2021-10-13,141.235,141.4,139.2,140.91,140.91,78762721,AAPL,Apple Inc
2021-10-14,142.11,143.88,141.51,143.76,143.76,69907100,AAPL,Apple Inc
